,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 05:13:37,0,0,"Cheap Bots, Done Quick!",101,1,"Hiya, I'm kanyebot! a bot that informs you of interesting lyrics from Kanye songs:  ' WE WANT PRENUP'"
1,2018-10-28 05:13:16,0,0,Google,119,1,Ich mag das @YouTube-Video: https://t.co/TpoAXFWyog Kanye West Believes He Wrote The Best ROCK Song Of 2018 | Rock Feed
2,2018-10-28 05:13:02,0,0,Twitter for iPhone,55,-1,Ya see what Kanye fucking did ? https://t.co/z3vQzXrRiy
3,2018-10-28 05:12:51,0,0,FactsCreatorBot,101,0,"Here's what the United States government said off-the-record to Kanye: ""The United States ate China."""
4,2018-10-28 05:12:27,0,0,Facebook,195,-1,"KANYE TELLING BLACK FOLKS TO LEAVE THE DEMOCRATS LIKE HE STILL HAS A BLACK CARD! #koonye #shutup 

Kanye West designed T-shirts urging black people to bail on Democrats... https://t.co/u3iCWTeYc1"
5,2018-10-28 05:11:43,2,0,Twitter for iPhone,60,0,Every Kanye and Kid Cudi collaboration song is a masterpiece
6,2018-10-28 05:11:36,0,0,Twitter for iPhone,146,-1,If Kanye wasn't trippin like he is I'd compliment not only the yeezys but the slick effort u threw on to stunt on local tv https://t.co/ePtkYSYT7Q
7,2018-10-28 05:10:45,0,0,Twitter for iPhone,52,0,@bennyjohnson Trump announcing his colab with Kanye?
8,2018-10-28 05:10:11,0,0,Twitter for iPhone,175,1,@Kenien @TalibKweli Yes it’s a serious question because we make more noise about Kanye than rappers who been rapping about things way more detrimental to our communities 🤷🏿‍♀️
9,2018-10-28 05:09:49,0,0,Twitter Web Client,268,-1,@TheEllenShow @KrisJenner @KrisJenner's marriage to Bruce Jenner ended with him removing his penis and becoming a fake woman. And she is bashing Kanye. He will still be a superstar when the Jenner's and Kardashian's are all bankrupt and done. Ellen will be with Rosie.
10,2018-10-28 05:09:40,0,0,Twitter Lite,109,0,"Kanye paid em, to act like they support the Monster! Tap it.
Vote Blue.
@TheDemocrats https://t.co/iLkms4ApNb"
