,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 04:20:33,0,0,Twitter for iPhone,34,-1,@Dodgers Dave Roberts is an idiots
1,2018-10-28 04:20:33,0,0,Twitter for iPhone,39,-1,@C9Mang0 Dave Roberts is a fucking joke
2,2018-10-28 04:20:33,0,0,Twitter for iPhone,213,-1,PLEASE tell the LA media to ask Roberts the tough questions and burn him! Don’t lie Tim we had this game and a 2-2 series Dave completely ruined their chances to have ALL the momentum back. https://t.co/pTISqozxoh
3,2018-10-28 04:20:31,0,0,Twitter for iPhone,84,-1,Lmfao dawg wtf? I came on my break and see Dave Roberts managed to lose another game
4,2018-10-28 04:20:29,0,0,Twitter for iPhone,167,1,"#WorldSeries2018 Dodgers is such a hard team to love. Dave Roberts, why’d you pull Rich Hill when he was throwing a scoreless one hitter with two outs at the 7th? WTF!"
5,2018-10-28 04:20:29,0,0,Twitter for iPhone,46,0,"Dave Roberts: Once a Red Sox, always a Red Sox"
6,2018-10-28 04:20:28,0,0,Twitter Web Client,190,-1,"It wasn't the bullpen that fell apart, it was Dave ""Nervous Nellie"" Roberts pulling a pitcher who was in control of the game who blew the whole team effort to hell.   https://t.co/VWDnd2fsPB"
7,2018-10-28 04:20:28,0,0,Twitter for iPhone,152,-1,"Analytics is destroying baseball. Baseball is about gut, not making stupid decisions because ""analytics"" give it a go. Pathetic managing by Dave Roberts"
8,2018-10-28 04:20:27,0,0,Twitter for Android,138,1,It's really impressive how Dave Roberts don't want to hurt the fellings of red sox fans. He've made a great job to avoid that #WorldSeries
9,2018-10-28 04:20:26,0,0,Twitter for Android,37,0,@Dodgers Dave Roberts MVP for Boston.
10,2018-10-28 04:20:24,0,0,Twitter for iPhone,95,-1,"Same shit, different year. I’m over it. &amp; Dave Roberts is an idiot. https://t.co/AS4BE7wuYB"
11,2018-10-28 04:20:24,0,0,Twitter for iPhone,60,-1,"EVEN DONALD TRUMP SAYS FUCK DAVE ROBERTS, IM DONE. Goodnight"
12,2018-10-28 04:20:23,0,0,Twitter for iPhone,130,0,"All these dodger fans ungrateful man, Dave Roberts just took your team to Back to Back World Series appearances. Have some respect"
13,2018-10-28 04:20:21,0,0,Twitter for iPhone,39,0,Dave Roberts rn https://t.co/Bu2bPWaiqH
14,2018-10-28 04:20:21,0,0,Twitter for iPhone,255,1,So many scenarios as to why the dodgers have lost the last World Series and down this World Series but it comes down to one thing - over coaching by Dave Roberts! I think he will have a fine future but he’s taken to many hard losses here on the big stage.
15,2018-10-28 04:20:20,0,0,Twitter Web Client,145,0,"Dave Roberts Los Angeles MLB World Series Red Sox Boston Dodgers
#DaveRoberts 
#Madson
#Jensen
#Maeda
#Floro
#Wood
#WorldSeries 
#Dodgers
#RedSox"
16,2018-10-28 04:20:19,0,0,Twitter for iPhone,274,1,"If we lose one of the next 3 games, just remember this is not Roberts’ fault. He is an exceptional manager who took us to two straight world series. We should never give up faith on this team but if things don’t work out don’t use Dave as a scapegoat. #LADetermined #Dodgers"
17,2018-10-28 04:20:19,0,0,Twitter for iPhone,138,-1,"“Fuck there’s runners on base, let’s throw Madson in he’s been so good this series in that situation” -Dave Roberts stupid thought process"
18,2018-10-28 04:20:19,0,0,Twitter for iPhone,137,-1,@StoneRainbow68 @the_eskimo_spy Nobody wants to hear the @NBCSBoston crew explain how the Red Sox are lucky that Dave Roberts is a moron?
19,2018-10-28 04:20:19,0,0,Twitter for Android,103,1,And Dave Roberts gotta go.......his management of the bullpen and rich hill tonight is unforgivable....
20,2018-10-28 04:20:18,0,0,Tweetbot for iΟS,89,0,"@nitzbluv Go ahead:

Call Dave Roberts an under qualified Ty Lue. https://t.co/oOASLcUNgA"
21,2018-10-28 04:20:18,0,0,Twitter for iPhone,117,0,If I’ve learned anything watching this years #WorldSeries it’s that Dave Roberts must still be on the Red Sox payroll
22,2018-10-28 04:20:18,0,0,Twitter for Android,47,1,LOL Dodgers but even bigger LOL to Dave Roberts
23,2018-10-28 04:20:18,0,0,Twitter for iPhone,53,0,Dave Roberts World Series MVP https://t.co/fgoEQlS1wE
24,2018-10-28 04:20:17,0,0,Twitter for iPhone,217,-1,"First off, stop blaming Dave Roberts for last year. Your mother fucking squad couldn’t hit shit in game 7. This year? Yeah you can blame him. You really take out Hill when he clearly had Boston hitters off balance smh"
25,2018-10-28 04:20:17,0,0,Twitter for iPhone,70,1,@ArashMarkazi That’s a live picture of Dave Roberts contract extension
26,2018-10-28 04:20:15,0,0,Twitter for iPhone,87,0,Remember when the Dodgers were up 4-0 and Dave Roberts gave it away by taking out Hill?
27,2018-10-28 04:20:15,0,0,Twitter for iPhone,123,1,i just wanna know what Dave Roberts was thinking from the 7th inning and up... it all started with him taking out rich hill
28,2018-10-28 04:20:15,0,0,Twitter for iPhone,219,-1,"How do you loose a World Series game at home, when you are up 4-0 after 6 innings? 

How do you give up 9 runs between the 7th - 9th innings at home in a World Series? 

ANSWER:
Dave Roberts is your manager, that’s how!"
29,2018-10-28 04:20:14,0,0,Twitter for iPhone,81,1,"Well done, Dave Roberts. First time Trump has been right. https://t.co/qhY8tLgvjf"
30,2018-10-28 04:20:14,0,0,Twitter for iPhone,110,-1,"Alex Cora is managing like it’s the World fucken Series, and Dave Roberts is managing like its any other game."
31,2018-10-28 04:20:14,0,0,Twitter for iPhone,38,-1,Dodgers and Dave Roberts make me sick.
32,2018-10-28 04:20:13,0,0,Twitter for iPhone,101,1,"Dave Roberts may be managing the Dodgers... 

...but he’s still helping the Red Sox win World Series."
33,2018-10-28 04:20:13,1,0,Twitter for iPhone,61,0,@alannarizzo 2018 will be known as “The Dave Roberts Debacle”
34,2018-10-28 04:20:12,0,0,Twitter for iPhone,82,1,Donald Trump understands baseball better than Dave Roberts https://t.co/H4o6iofQmp
35,2018-10-28 04:20:12,9,5,Twitter for iPhone,272,-1,"No excuses, but I’m extremely frustrated with Dave Roberts. Extremely poor moves. We were 54-0 with a 4-run lead at any point this year. Now we’re 54-1. That one loss took place in the #WorldSeries. Heartbreaking. @Dodgers

Worst of all, now my lucky hat ain’t so lucky. 😑"
36,2018-10-28 04:20:11,0,0,Twitter for iPhone,59,-1,I fucking hate you Dave Roberts! FUCKING HATE YOU!!!!!!!!!!
37,2018-10-28 04:20:11,0,0,Twitter Lite,86,1,@barstoolsports @BarstoolNewsN Trump's funny nickname for Dave Roberts is Captain Hook
38,2018-10-28 04:20:09,0,0,Twitter for iPhone,41,-1,@DIRTY_DIANNAAA Cause Dave Roberts sucks!
39,2018-10-28 04:20:07,0,0,Twitter for iPhone,76,1,Dave Roberts helping the Red Sox win another WS. No reason to pull Rich Hill
40,2018-10-28 04:20:06,0,0,Twitter for Android,155,1,@Dodgers How about I manage the team tomorrow??? I don't how to manage either just like Dave Roberts! I'll do it for $100 and free hot dogs and diet cokes!
41,2018-10-28 04:20:06,0,0,Twitter for iPhone,112,1,I’m old enough to remember when Dave Roberts was helping the @RedSox win the #WorldSeries and it was on purpose.
42,2018-10-28 04:20:05,0,0,Twitter for iPhone,74,0,Hill was pitching like a gem then Dave Roberts has to come ruin everything
43,2018-10-28 04:20:05,0,0,Twitter for iPhone,46,0,@Dodgers Dave Roberts a Boston legend forever!
44,2018-10-28 04:20:04,0,0,Twitter for iPhone,84,1,LA Dodgers fans to Dave Roberts right now... #WorldSeries⁠ ⁠ https://t.co/T6XpgiIoNj
45,2018-10-28 04:20:03,0,0,Twitter Web Client,45,-1,Someone gonna burn down Dave Roberts she-shed
46,2018-10-28 04:20:02,0,0,Twitter Web Client,181,-1,"If I'm going to have my heart ripped out like that (thanks Dave Roberts), could I at least get one woman to look at me with obvious interest. #Introvert #NotAttractive #ProveMeWrong"
47,2018-10-28 04:20:02,0,0,Twitter for Android,58,0,@MarkPacker Dave Roberts managing. https://t.co/0dOzCZ7cBK
48,2018-10-28 04:20:01,0,0,Twitter for iPhone,80,-1,@BergmanGreg Dave Roberts. Always finding a way to piss away the game. I’m done.
49,2018-10-28 04:20:01,0,0,Twitter Lite,176,1,"Dave Roberts pulled Rich Hill after 6 innings of 1-hit ball. Red Sox could not friggin’ hit him. Thankfully, he brought in a shit-ton of relievers they could crush. #Worlds2018"
50,2018-10-28 04:20:01,1,0,Twitter Web Client,68,0,Gee. I wonder why he's ripping Dave Roberts? https://t.co/3nxBCouPkL
51,2018-10-28 04:19:59,0,0,Twitter for iPhone,51,0,Will Dave Roberts be #Dodgers coach next year 2019?
52,2018-10-28 04:19:59,0,0,Twitter for iPhone,23,0,@Azixz And Dave Roberts
53,2018-10-28 04:19:59,0,0,Twitter for Android,36,0,@JCBOYD_SPORT360 Bye Dave Roberts 🤣🤣
54,2018-10-28 04:19:58,0,0,Echofon,126,1,it was a great run for dave roberts in LA. looking forward to seeing what’s next. maybe a return to the @padres ? #worldseries
55,2018-10-28 04:19:57,0,0,Twitter for Android,17,0,fire Dave Roberts
56,2018-10-28 04:19:56,0,0,Twitter for iPhone,49,1,Dave Roberts is dirty. He’s getting paid off. Lol
57,2018-10-28 04:19:55,1,0,Twitter for iPhone,93,0,"If @Dodgers lose the #WorldSeries, do they let go of Dave Roberts and bring in Mike Scioscia?"
58,2018-10-28 04:19:53,4,1,Twitter for iPhone,59,0,Dave Roberts still Red Sox man at heart and I appreciate it
59,2018-10-28 04:19:53,0,0,Twitter for Android,197,-1,Dave Roberts is the worst manager EVER to put in a Dodger uniform..I'm a life long Dodger fan and may never see them get another World Series.  Again our President is right. https://t.co/3Tr7X66I3e
60,2018-10-28 04:19:51,2,0,Twitter for iPhone,167,-1,"I’m so sick. #Dodgers should’ve won that game easily. Dave Roberts is so incompetent and it showed clearly tonight. Rich Hill, Yasiel Puig deserve so much better. Damn"
61,2018-10-28 04:19:51,1,0,Twitter for Android,236,1,@SGVNSports Dave Roberts pulls Hill to early. Tommy would of never pulled the Bulldog or Valenzuela out. They battled. Rich Hill goes seven inning Dodgers win. I can't see Dave Roberts as manager next season unless he the owners puppet.
62,2018-10-28 04:19:48,0,0,Twitter for iPhone,83,0,Even Donald Trump knows Dave Roberts is a bozo. What a time https://t.co/zr93w8fBAs
63,2018-10-28 04:19:47,0,0,Twitter for Android,175,-1,"Bro. I seriously LOVE dave roberts, i do, but this overmanaging stuff has to end man. Just let your player play man, especially your pitchers, fuck man, let them fucking pitch"
64,2018-10-28 04:19:46,0,0,Twitter for iPhone,155,0,All Dodgers fans when Dave Roberts takes out his starter. #DodgerStadium #LADodgers #MLB #MLBPlayoffs #RedSoxVsDodgers #DaveRoberts https://t.co/PgQCpItjh0
65,2018-10-28 04:19:46,0,0,Twitter for iPhone,65,0,"me, if I ever fuckin see dave roberts IRL https://t.co/Ond721rtMa"
66,2018-10-28 04:19:44,0,0,Twitter Web Client,209,1,"@RheaButcher Talk to me about Dave Roberts, because in the Philadelphia area, he's the perfect weatherman, and I have no idea what impact he could have in the World Series. 

See, also, David Boreanaz. Son of."
67,2018-10-28 04:19:44,0,0,Twitter Lite,134,1,"@MLB Dave Roberts helped Boston today more, than in 2004. Thank you, Dave, for your stupid management! Red Sox gonna win World Series!"
